MetricSet	SymbolName	ShortName	Group	LongName
Geometry4	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Geometry4	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Geometry4	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Geometry4	CLIPPER_PRIMITIVE_FAR_NEAR_CLIP_SLICE0	Clipper Primitive Far Near Clip Slice0	Geometry	Number of primitives clipped by Clipper due to near/far planes
Geometry4	CLIPPER_PRIMITIVE_FAR_NEAR_CLIP_SLICE1	Clipper Primitive Far Near Clip Slice1	Geometry	Number of primitives clipped by Clipper due to near/far planes
Geometry4	CLIPPER_PRIMITIVE_FAR_NEAR_CLIP_SLICE2	Clipper Primitive Far Near Clip Slice2	Geometry	Number of primitives clipped by Clipper due to near/far planes
Geometry4	CLIPPER_PRIMITIVE_FAR_NEAR_CLIP_SLICE3	Clipper Primitive Far Near Clip Slice3	Geometry	Number of primitives clipped by Clipper due to near/far planes
Geometry4	CLIPPER_PRIMITIVE_OUTPUT_SLICE0	Clipper Primitive Output Slice0	Geometry	Number of primitives going out of Clipper, must clip plus the trivial accept
Geometry4	CLIPPER_PRIMITIVE_OUTPUT_SLICE1	Clipper Primitive Output Slice1	Geometry	Number of primitives going out of Clipper, must clip plus the trivial accept
Geometry4	CLIPPER_PRIMITIVE_OUTPUT_SLICE2	Clipper Primitive Output Slice2	Geometry	Number of primitives going out of Clipper, must clip plus the trivial accept
Geometry4	CLIPPER_PRIMITIVE_OUTPUT_SLICE3	Clipper Primitive Output Slice3	Geometry	Number of primitives going out of Clipper, must clip plus the trivial accept
Geometry5	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
Geometry5	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
Geometry5	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
Geometry5	STRIPSFAN_OBJECTS_CULL_SLICE0	Stripsfan Objects Cull Slice0	Geometry	Number of simple culled objects in Stripsfan stage
Geometry5	STRIPSFAN_OBJECTS_CULL_SLICE1	Stripsfan Objects Cull Slice1	Geometry	Number of simple culled objects in Stripsfan stage
Geometry5	STRIPSFAN_OBJECTS_CULL_SLICE2	Stripsfan Objects Cull Slice2	Geometry	Number of simple culled objects in Stripsfan stage
Geometry5	STRIPSFAN_OBJECTS_CULL_SLICE3	Stripsfan Objects Cull Slice3	Geometry	Number of simple culled objects in Stripsfan stage
Geometry5	STRIPSFAN_OBJECT_COUNT_SLICE0	Stripsfan Object Count Slice0	Geometry	Number of objects exiting Stripsfan stage
Geometry5	STRIPSFAN_OBJECT_COUNT_SLICE1	Stripsfan Object Count Slice1	Geometry	Number of objects exiting Stripsfan stage
Geometry5	STRIPSFAN_OBJECT_COUNT_SLICE2	Stripsfan Object Count Slice2	Geometry	Number of objects exiting Stripsfan stage
Geometry5	STRIPSFAN_OBJECT_COUNT_SLICE3	Stripsfan Object Count Slice3	Geometry	Number of objects exiting Stripsfan stage
Geometry5	CLIPPER_TRANSACTION_OUTPUT_SLICE0	Clipper Transaction Output Slice0	Geometry	Number of elements pushed by Clipper into Stripsfan stage
Geometry5	CLIPPER_TRANSACTION_OUTPUT_SLICE1	Clipper Transaction Output Slice1	Geometry	Number of elements pushed by Clipper into Stripsfan stage
Geometry5	CLIPPER_TRANSACTION_OUTPUT_SLICE2	Clipper Transaction Output Slice2	Geometry	Number of elements pushed by Clipper into Stripsfan stage
Geometry5	CLIPPER_TRANSACTION_OUTPUT_SLICE3	Clipper Transaction Output Slice3	Geometry	Number of elements pushed by Clipper into Stripsfan stage
L1Cache1	GpuTime	GPU Time Elapsed	GPU	Time elapsed on the GPU during the measurement.
L1Cache1	GpuCoreClocks	GPU Core Clocks	GPU	The total number of GPU core clocks elapsed during the measurement.
L1Cache1	AvgGpuCoreFrequencyMHz	AVG GPU Core Frequency	GPU	Average GPU Core Frequency in the measurement.
L1Cache1	LOAD_STORE_CACHE_INPUT_AVAILABLE_XECORE0	Load Store Cache Input Available Xecore0	L1Cache	Percentage of time in which the Load Store Cache has input available
